doc_id,line_no,description,quantity,unit_price,discount_pct,line_amount
RCT-0000001,1,Reactive intermediate paradigm,1,42.74,10,38.47
RCT-0000001,2,Focused radical software,4,14.25,0,57.0
RCT-0000001,3,Implemented logistical help-desk,1,6.93,5,6.58
RCT-0000002,1,Ergonomic reciprocal firmware,3,18.5,0,55.5
RCT-0000002,2,Vision-oriented systematic hub,3,43.19,0,129.57
RCT-0000002,3,Re-contextualized homogeneous database,1,15.57,5,14.79
RCT-0000002,4,Triple-buffered bottom-line approach,1,10.85,10,9.77
RCT-0000002,5,Stand-alone modular budgetary management,1,30.39,10,27.35
RCT-0000002,6,Focused heuristic installation,1,8.59,15,7.3
RCT-0000002,7,Horizontal bandwidth-monitored encoding,1,24.41,5,23.19
RCT-0000002,8,Universal secondary process improvement,2,8.2,5,15.58
RCT-0000003,1,Enterprise-wide secondary success,1,9.14,0,9.14
RCT-0000004,1,Distributed fault-tolerant open system,1,20.79,0,20.79
RCT-0000004,2,Progressive leadingedge functionalities,1,29.37,10,26.43
RCT-0000005,1,Automated high-level software,1,11.33,0,11.33
RCT-0000005,2,Diverse grid-enabled implementation,7,28.72,5,190.99
RCT-0000005,3,Multi-tiered logistical methodology,2,15.81,0,31.62
RCT-0000005,4,Configurable local database,1,7.01,0,7.01
RCT-0000005,5,Front-line executive success,2,9.19,0,18.38
RCT-0000006,1,Streamlined upward-trending architecture,3,17.58,0,52.74
RCT-0000006,2,Down-sized multi-state encoding,1,31.92,0,31.92
RCT-0000006,3,Virtual 24hour success,1,24.75,10,22.28
RCT-0000006,4,Synchronized leadingedge pricing structure,1,25.03,0,25.03
RCT-0000007,1,Reverse-engineered 4thgeneration implementation,5,4.85,0,24.25
RCT-0000007,2,Fully-configurable intangible toolset,4,20.22,5,76.84
RCT-0000008,1,Reduced user-facing Graphical User Interface,2,19.44,5,36.94
RCT-0000008,2,Programmable dedicated archive,1,14.74,0,14.74
RCT-0000008,3,Mandatory optimal extranet,1,19.21,10,17.29
RCT-0000008,4,Realigned client-server installation,1,3.69,15,3.14
RCT-0000008,5,Team-oriented coherent flexibility,3,2.47,0,7.41
RCT-0000008,6,Re-engineered logistical array,1,14.54,15,12.36
RCT-0000008,7,Seamless tertiary standardization,1,11.65,5,11.07
RCT-0000009,1,Face-to-face bottom-line parallelism,1,10.43,5,9.91
RCT-0000009,2,Centralized global superstructure,3,16.37,0,49.11
RCT-0000009,3,Cross-group dynamic leverage,1,13.97,10,12.57
RCT-0000009,4,Synergized intangible task-force,3,15.21,0,45.63
RCT-0000009,5,Streamlined needs-based conglomeration,1,22.69,15,19.29
RCT-0000009,6,Multi-lateral holistic frame,1,8.43,0,8.43
RCT-0000009,7,Self-enabling responsive extranet,4,15.45,15,52.53
RCT-0000009,8,Diverse leadingedge emulation,1,7.75,5,7.36
RCT-0000010,1,Customer-focused coherent Graphical User Interface,1,3.26,0,3.26
RCT-0000010,2,Down-sized maximized capacity,1,9.9,10,8.91
RCT-0000010,3,Diverse 6thgeneration frame,1,25.41,10,22.87
RCT-0000010,4,Distributed value-added orchestration,1,6.65,0,6.65
RCT-0000010,5,Multi-lateral actuating frame,4,16.44,10,59.18
RCT-0000011,1,User-centric intermediate project,1,22.86,0,22.86
RCT-0000011,2,Extended composite capability,4,20.37,5,77.41
RCT-0000011,3,Down-sized modular firmware,1,7.73,0,7.73
RCT-0000011,4,Implemented foreground initiative,1,7.29,15,6.2
RCT-0000011,5,Diverse zero-defect process improvement,3,12.49,0,37.47
RCT-0000011,6,Object-based holistic initiative,1,14.67,15,12.47
RCT-0000011,7,Proactive client-driven secured line,3,19.09,0,57.27
RCT-0000011,8,User-friendly explicit customer loyalty,4,19.25,0,77.0
RCT-0000012,1,Compatible responsive Internet solution,1,79.94,15,67.95
RCT-0000012,2,Stand-alone 4thgeneration hub,1,34.19,0,34.19
RCT-0000012,3,Horizontal tertiary matrix,1,9.52,15,8.09
RCT-0000012,4,De-engineered logistical synergy,4,53.18,15,180.81
RCT-0000012,5,Fully-configurable 24hour Local Area Network,1,5.59,0,5.59
RCT-0000012,6,Upgradable user-facing artificial intelligence,1,5.99,5,5.69
RCT-0000012,7,Pre-emptive impactful benchmark,1,21.07,15,17.91
RCT-0000013,1,Phased tangible adapter,1,10.18,0,10.18
RCT-0000014,1,Progressive executive moderator,2,2.27,0,4.54
RCT-0000014,2,Persevering multimedia budgetary management,6,34.31,0,205.86
RCT-0000015,1,Profit-focused needs-based architecture,1,18.69,5,17.76
RCT-0000015,2,Open-source static adapter,2,11.31,0,22.62
RCT-0000015,3,Profit-focused system-worthy projection,1,10.71,15,9.1
RCT-0000016,1,Balanced motivating process improvement,1,10.44,10,9.4
RCT-0000016,2,Profound system-worthy hub,1,2.86,15,2.43
RCT-0000017,1,Open-source zero administration array,1,6.51,15,5.53
RCT-0000017,2,Cross-platform multi-state parallelism,1,7.62,0,7.62
RCT-0000017,3,Multi-layered encompassing complexity,1,26.03,15,22.13
RCT-0000017,4,Ameliorated 24hour emulation,1,8.13,0,8.13
RCT-0000017,5,Open-source didactic projection,1,15.87,0,15.87
RCT-0000018,1,Customer-focused regional customer loyalty,1,10.74,0,10.74
RCT-0000018,2,Operative modular array,1,6.55,0,6.55
RCT-0000018,3,Mandatory transitional infrastructure,1,14.7,5,13.96
RCT-0000018,4,Assimilated impactful ability,1,12.03,15,10.23
RCT-0000018,5,Networked demand-driven complexity,2,25.88,10,46.58
RCT-0000018,6,Stand-alone asynchronous toolset,9,9.21,0,82.89
RCT-0000018,7,User-friendly secondary challenge,1,7.71,10,6.94
RCT-0000019,1,Reduced responsive knowledge user,1,21.8,0,21.8
RCT-0000019,2,Reverse-engineered scalable moderator,2,10.73,0,21.46
RCT-0000019,3,Cloned hybrid open architecture,1,23.22,10,20.9
RCT-0000019,4,Exclusive neutral productivity,6,8.33,0,49.98
RCT-0000019,5,Enhanced heuristic system engine,3,13.48,0,40.44
RCT-0000019,6,Synergistic hybrid customer loyalty,2,7.92,0,15.84
RCT-0000019,7,Business-focused system-worthy adapter,1,6.8,0,6.8
RCT-0000019,8,Exclusive directional software,1,2.6,0,2.6
RCT-0000020,1,Reactive system-worthy interface,1,35.34,0,35.34
RCT-0000020,2,Streamlined human-resource paradigm,1,8.64,0,8.64
RCT-0000020,3,Face-to-face multimedia throughput,1,17.43,0,17.43
RCT-0000020,4,Diverse discrete firmware,2,10.83,10,19.49
RCT-0000020,5,Horizontal needs-based synergy,2,27.75,0,55.5
RCT-0000021,1,Pre-emptive static definition,1,3.62,0,3.62
RCT-0000021,2,Automated explicit functionalities,2,14.08,5,26.75
RCT-0000021,3,Front-line upward-trending model,4,20.72,0,82.88
RCT-0000021,4,Multi-channeled maximized approach,2,12.69,5,24.11
RCT-0000022,1,Distributed contextually-based challenge,1,7.23,5,6.87
RCT-0000022,2,Realigned methodical website,1,3.71,0,3.71
RCT-0000022,3,Grass-roots optimal website,1,7.75,10,6.98
RCT-0000023,1,Mandatory uniform data-warehouse,1,3.09,5,2.94
RCT-0000023,2,Versatile content-based infrastructure,2,20.35,0,40.7
RCT-0000023,3,Decentralized interactive leverage,2,16.94,10,30.49
RCT-0000023,4,Re-engineered asynchronous architecture,1,22.02,0,22.02
RCT-0000023,5,Function-based content-based complexity,2,6.29,0,12.58
RCT-0000023,6,Virtual grid-enabled database,3,5.66,15,14.43
RCT-0000024,1,Advanced explicit Graphical User Interface,1,17.63,0,17.63
