doc_id,line_no,description,quantity,unit_price,discount_pct,line_amount
INV-0000001,1,Object-based homogeneous orchestration,1,5.59,0,5.59
INV-0000001,2,Cloned scalable software,1,15.23,0,15.23
INV-0000001,3,Profit-focused demand-driven capability,1,14.81,5,14.07
INV-0000001,4,Advanced logistical interface,2,24.71,0,49.42
INV-0000002,1,Customizable responsive alliance,1,8.11,0,8.11
INV-0000002,2,Polarized secondary function,1,8.43,0,8.43
INV-0000002,3,Reverse-engineered systemic model,1,1.96,0,1.96
INV-0000003,1,Switchable fault-tolerant definition,1,23.69,0,23.69
INV-0000003,2,Organic value-added moratorium,1,9.03,0,9.03
INV-0000003,3,Triple-buffered background budgetary management,1,7.25,0,7.25
INV-0000003,4,Re-contextualized bandwidth-monitored projection,1,7.84,0,7.84
INV-0000003,5,Versatile well-modulated emulation,1,18.51,15,15.73
INV-0000003,6,Synergistic optimizing matrices,1,13.27,0,13.27
INV-0000003,7,Integrated incremental toolset,1,8.49,15,7.22
INV-0000003,8,Customer-focused scalable data-warehouse,1,8.0,5,7.6
INV-0000004,1,Distributed fresh-thinking neural-net,1,23.65,15,20.1
INV-0000004,2,Secured mobile encryption,2,5.96,0,11.92
INV-0000004,3,Right-sized contextually-based adapter,1,10.88,0,10.88
INV-0000004,4,Right-sized dynamic contingency,1,10.37,0,10.37
INV-0000004,5,Mandatory fault-tolerant artificial intelligence,2,16.0,5,30.4
INV-0000005,1,Extended motivating archive,1,85.18,15,72.4
INV-0000005,2,Networked background installation,1,28.09,10,25.28
INV-0000005,3,Cross-group executive workforce,6,14.2,10,76.68
INV-0000005,4,Multi-tiered bifurcated database,5,22.58,0,112.9
INV-0000005,5,Virtual global secured line,1,6.01,0,6.01
INV-0000006,1,Distributed system-worthy function,1,4.02,0,4.02
INV-0000006,2,Re-engineered composite challenge,3,4.75,0,14.25
INV-0000006,3,Programmable bottom-line leverage,1,6.58,0,6.58
INV-0000006,4,Profound needs-based archive,1,18.31,0,18.31
INV-0000006,5,Visionary actuating access,2,22.68,10,40.82
INV-0000006,6,Business-focused 4thgeneration Graphic Interface,2,10.54,0,21.08
INV-0000007,1,Expanded zero-defect array,1,7.87,10,7.08
INV-0000007,2,Secured foreground groupware,3,4.24,10,11.45
INV-0000007,3,Focused executive definition,1,26.3,5,24.98
INV-0000007,4,Robust even-keeled migration,1,27.82,0,27.82
INV-0000007,5,Automated 24hour workforce,2,6.5,10,11.7
INV-0000008,1,De-engineered empowering functionalities,4,5.89,0,23.56
INV-0000008,2,Synergistic even-keeled alliance,2,11.55,0,23.1
INV-0000008,3,Profit-focused solution-oriented methodology,2,34.7,0,69.4
INV-0000008,4,Robust upward-trending paradigm,1,15.44,10,13.9
INV-0000009,1,Progressive global Graphical User Interface,1,9.22,0,9.22
INV-0000009,2,Distributed zero-defect flexibility,1,11.67,0,11.67
INV-0000010,1,Programmable logistical adapter,1,4.51,5,4.28
INV-0000010,2,Proactive context-sensitive core,1,25.27,5,24.01
INV-0000010,3,Managed web-enabled forecast,4,8.38,0,33.52
INV-0000010,4,Fundamental 3rdgeneration firmware,2,4.28,0,8.56
INV-0000011,1,Mandatory stable capacity,1,10.5,15,8.92
INV-0000011,2,Profit-focused didactic circuit,1,9.04,0,9.04
INV-0000011,3,Customizable national secured line,5,17.31,0,86.55
INV-0000011,4,Horizontal empowering protocol,4,27.41,0,109.64
INV-0000011,5,Adaptive content-based complexity,3,31.83,0,95.49
INV-0000011,6,Customer-focused heuristic orchestration,4,13.78,0,55.12
INV-0000011,7,Polarized impactful utilization,1,10.18,10,9.16
INV-0000012,1,Future-proofed full-range frame,1,9.42,0,9.42
INV-0000012,2,Organic methodical project,3,1.9,15,4.84
INV-0000013,1,Extended dynamic attitude,1,15.52,0,15.52
INV-0000013,2,Focused attitude-oriented moderator,1,16.73,0,16.73
INV-0000013,3,Universal real-time Internet solution,1,10.85,5,10.31
INV-0000013,4,Up-sized disintermediate time-frame,1,6.3,0,6.3
INV-0000013,5,Multi-tiered 4thgeneration interface,7,32.55,5,216.46
INV-0000013,6,Optimized neutral standardization,6,12.03,0,72.18
INV-0000013,7,Upgradable coherent access,1,3.78,5,3.59
INV-0000014,1,Programmable 6thgeneration superstructure,1,13.09,15,11.13
INV-0000015,1,Business-focused client-driven encryption,1,9.0,0,9.0
INV-0000015,2,Total global collaboration,1,17.02,10,15.32
INV-0000015,3,Expanded needs-based system engine,1,10.16,0,10.16
INV-0000016,1,Digitized multi-tasking process improvement,1,15.45,15,13.13
INV-0000016,2,Future-proofed uniform Local Area Network,1,12.12,10,10.91
INV-0000016,3,Visionary even-keeled monitoring,2,7.08,10,12.74
INV-0000016,4,Decentralized leadingedge open architecture,2,20.93,10,37.67
INV-0000016,5,Advanced neutral workforce,1,32.58,0,32.58
INV-0000016,6,Decentralized 5thgeneration strategy,1,32.29,0,32.29
INV-0000016,7,Reverse-engineered solution-oriented portal,1,8.62,0,8.62
INV-0000017,1,Pre-emptive 24/7 model,1,23.25,10,20.93
INV-0000017,2,Polarized value-added portal,1,40.23,10,36.21
INV-0000017,3,Persistent cohesive intranet,1,22.45,0,22.45
INV-0000017,4,Persistent client-server software,1,19.19,0,19.19
INV-0000017,5,Persistent attitude-oriented process improvement,1,5.18,10,4.66
INV-0000017,6,Versatile coherent paradigm,2,18.81,0,37.62
INV-0000017,7,Focused executive complexity,1,10.88,10,9.79
INV-0000017,8,Stand-alone multi-state hierarchy,1,9.49,0,9.49
INV-0000018,1,Face-to-face fault-tolerant migration,2,17.98,15,30.57
INV-0000019,1,Secured composite flexibility,3,31.65,0,94.95
INV-0000019,2,Diverse reciprocal open architecture,1,72.05,10,64.84
INV-0000019,3,Multi-lateral zero-defect archive,1,4.45,0,4.45
INV-0000019,4,Advanced bi-directional strategy,1,28.04,15,23.83
INV-0000019,5,Devolved cohesive alliance,2,18.77,0,37.54
INV-0000020,1,Function-based web-enabled task-force,1,28.56,0,28.56
INV-0000021,1,Phased eco-centric matrix,1,14.27,0,14.27
INV-0000021,2,Seamless dynamic database,1,22.05,15,18.74
INV-0000022,1,Self-enabling interactive firmware,1,13.77,0,13.77
INV-0000023,1,Cross-group asynchronous strategy,2,5.2,0,10.4
INV-0000023,2,Extended scalable contingency,2,20.37,0,40.74
INV-0000023,3,Reduced foreground implementation,1,6.25,0,6.25
INV-0000024,1,Optimized explicit emulation,1,20.88,15,17.75
INV-0000024,2,Mandatory neutral forecast,3,29.6,0,88.8
INV-0000024,3,Pre-emptive regional protocol,2,6.64,5,12.62
INV-0000025,1,Centralized stable ability,1,13.49,15,11.47
INV-0000026,1,Persistent 24hour groupware,1,22.54,0,22.54
INV-0000026,2,Profit-focused reciprocal instruction set,1,10.3,0,10.3
INV-0000026,3,Centralized fresh-thinking challenge,3,82.61,0,247.83
INV-0000026,4,Object-based grid-enabled contingency,1,13.01,0,13.01
INV-0000026,5,Vision-oriented 3rdgeneration capacity,1,6.21,10,5.59
INV-0000026,6,Virtual upward-trending Local Area Network,1,24.14,0,24.14
INV-0000027,1,Up-sized bi-directional functionalities,2,11.17,10,20.11
INV-0000027,2,Fully-configurable static synergy,6,20.46,0,122.76
INV-0000027,3,Organic background array,6,8.88,0,53.28
INV-0000027,4,Synchronized full-range artificial intelligence,1,20.99,0,20.99
INV-0000027,5,Operative actuating flexibility,3,6.37,15,16.24
INV-0000027,6,De-engineered multi-state intranet,1,8.51,5,8.08
INV-0000027,7,Distributed user-facing frame,5,18.94,0,94.7
INV-0000028,1,Mandatory transitional budgetary management,1,41.85,15,35.57
INV-0000028,2,Compatible methodical methodology,1,25.54,0,25.54
INV-0000029,1,Business-focused needs-based encryption,2,12.63,15,21.47
INV-0000029,2,Seamless mission-critical model,2,6.23,15,10.59
INV-0000029,3,Optimized discrete moderator,1,32.05,0,32.05
INV-0000029,4,Adaptive systematic Graphical User Interface,3,15.08,10,40.72
INV-0000029,5,Realigned solution-oriented emulation,4,14.59,10,52.52
INV-0000029,6,User-centric context-sensitive structure,1,33.32,0,33.32
INV-0000029,7,Future-proofed 24hour ability,2,12.24,5,23.26
INV-0000030,1,Open-source logistical installation,2,14.33,5,27.23
INV-0000030,2,Distributed even-keeled projection,1,13.78,15,11.71
INV-0000030,3,Fundamental even-keeled customer loyalty,1,13.67,0,13.67
INV-0000030,4,Pre-emptive dedicated parallelism,1,6.69,10,6.02
INV-0000030,5,Reduced optimal instruction set,1,3.48,5,3.31
INV-0000030,6,Exclusive system-worthy matrix,1,15.64,15,13.29
INV-0000030,7,Optional regional artificial intelligence,1,6.52,0,6.52
INV-0000030,8,Function-based analyzing attitude,1,9.64,15,8.19
INV-0000031,1,Polarized even-keeled circuit,2,17.9,0,35.8
INV-0000031,2,Focused bottom-line adapter,1,5.0,0,5.0
INV-0000031,3,Decentralized system-worthy algorithm,1,64.87,0,64.87
INV-0000031,4,Object-based asynchronous open system,2,44.27,0,88.54
INV-0000032,1,Reduced radical forecast,2,12.31,0,24.62
INV-0000032,2,Realigned 5thgeneration moderator,1,16.6,0,16.6
INV-0000032,3,Secured intangible customer loyalty,3,8.92,15,22.75
INV-0000032,4,Upgradable zero-defect algorithm,1,3.79,15,3.22
INV-0000032,5,Polarized context-sensitive throughput,1,7.1,0,7.1
INV-0000032,6,Advanced transitional knowledgebase,1,38.97,0,38.97
INV-0000032,7,Reduced multi-state firmware,1,15.22,5,14.46
INV-0000033,1,Diverse client-server help-desk,2,3.94,5,7.49
INV-0000033,2,Reverse-engineered attitude-oriented instruction set,2,15.86,15,26.96
INV-0000033,3,Cross-group real-time knowledge user,1,38.7,10,34.83
INV-0000034,1,Managed even-keeled Local Area Network,1,7.3,0,7.3
INV-0000034,2,Object-based web-enabled implementation,2,4.97,15,8.45
INV-0000034,3,Open-architected disintermediate circuit,1,10.32,5,9.8
INV-0000034,4,Progressive optimizing strategy,1,45.17,5,42.91
INV-0000034,5,Centralized human-resource functionalities,1,4.92,0,4.92
INV-0000034,6,Open-architected reciprocal function,1,11.32,0,11.32
INV-0000034,7,Expanded cohesive interface,1,35.88,15,30.5
INV-0000034,8,Mandatory methodical firmware,1,30.76,0,30.76
INV-0000035,1,Multi-channeled reciprocal groupware,1,12.69,0,12.69
INV-0000035,2,Multi-lateral bandwidth-monitored flexibility,3,63.03,10,170.18
INV-0000035,3,Virtual 6thgeneration portal,2,10.57,0,21.14
INV-0000035,4,Secured upward-trending emulation,1,12.71,0,12.71
INV-0000035,5,De-engineered systemic instruction set,5,3.23,0,16.15
INV-0000035,6,Team-oriented fresh-thinking archive,2,29.86,0,59.72
INV-0000036,1,Profound homogeneous workforce,1,19.7,0,19.7
INV-0000037,1,Synergistic multimedia system engine,1,12.8,5,12.16
INV-0000037,2,Realigned dedicated flexibility,6,8.67,5,49.42
INV-0000037,3,Proactive background ability,1,14.09,10,12.68
INV-0000037,4,Proactive incremental synergy,3,7.88,15,20.09
INV-0000037,5,Horizontal zero administration benchmark,2,9.5,15,16.15
INV-0000038,1,Multi-layered needs-based access,1,15.7,15,13.34
INV-0000038,2,Vision-oriented zero-defect orchestration,3,18.3,15,46.67
INV-0000038,3,Down-sized explicit policy,1,17.93,5,17.03
INV-0000038,4,Profound 3rdgeneration frame,3,7.41,15,18.9
INV-0000038,5,Persevering real-time framework,9,3.49,0,31.41
INV-0000038,6,Up-sized real-time encryption,2,5.18,5,9.84
INV-0000039,1,Cloned radical database,1,36.13,0,36.13
INV-0000039,2,Synergistic zero tolerance middleware,2,8.96,5,17.02
INV-0000039,3,Quality-focused 24/7 secured line,1,12.29,0,12.29
INV-0000039,4,Pre-emptive foreground focus group,3,23.37,0,70.11
INV-0000039,5,Advanced human-resource workforce,1,10.3,0,10.3
INV-0000039,6,Multi-channeled exuding standardization,1,22.15,5,21.04
INV-0000039,7,Public-key holistic knowledge user,4,10.08,0,40.32
INV-0000040,1,Right-sized maximized utilization,5,7.93,5,37.67
INV-0000040,2,Multi-lateral didactic access,6,46.46,0,278.76
INV-0000041,1,Ameliorated optimizing approach,1,25.68,10,23.11
INV-0000042,1,User-friendly directional benchmark,1,28.32,10,25.49
INV-0000042,2,Polarized foreground knowledgebase,2,5.27,10,9.49
INV-0000042,3,Organic executive service-desk,3,7.47,15,19.05
INV-0000043,1,Implemented contextually-based hub,1,12.11,0,12.11
INV-0000043,2,Seamless modular framework,1,9.81,10,8.83
INV-0000043,3,Organic 24/7 installation,1,21.38,15,18.17
INV-0000043,4,Down-sized client-driven hub,1,18.72,15,15.91
INV-0000044,1,Managed foreground middleware,1,31.52,0,31.52
INV-0000044,2,De-engineered context-sensitive emulation,1,9.0,10,8.1
INV-0000044,3,Inverse 6thgeneration instruction set,3,14.05,15,35.83
INV-0000044,4,Sharable attitude-oriented utilization,2,27.33,0,54.66
INV-0000044,5,Mandatory 4thgeneration Internet solution,5,8.72,0,43.6
INV-0000044,6,Quality-focused attitude-oriented definition,8,7.65,5,58.14
INV-0000045,1,Inverse multimedia focus group,1,31.57,5,29.99
INV-0000045,2,Virtual secondary throughput,3,2.93,5,8.35
INV-0000045,3,Devolved next generation framework,4,36.56,15,124.3
INV-0000045,4,Fully-configurable mission-critical website,1,9.86,10,8.87
INV-0000045,5,Innovative dynamic synergy,1,12.14,0,12.14
INV-0000045,6,Automated multi-state concept,1,29.66,0,29.66
INV-0000045,7,Multi-channeled mobile challenge,1,20.9,0,20.9
INV-0000045,8,Multi-tiered incremental capability,6,4.43,0,26.58
INV-0000046,1,Monitored 6thgeneration portal,4,6.75,5,25.65
INV-0000047,1,Streamlined local application,1,12.79,10,11.51
INV-0000048,1,Triple-buffered clear-thinking time-frame,9,24.25,5,207.34
INV-0000048,2,Optional zero tolerance service-desk,1,16.97,0,16.97
INV-0000048,3,Centralized high-level application,1,12.65,0,12.65
INV-0000048,4,Optional value-added hardware,1,9.0,0,9.0
INV-0000048,5,Switchable reciprocal Local Area Network,1,44.79,0,44.79
INV-0000048,6,Front-line background solution,1,11.27,5,10.71
INV-0000048,7,Grass-roots holistic matrix,1,24.13,15,20.51
INV-0000048,8,Focused real-time standardization,1,10.91,0,10.91
INV-0000049,1,Organized explicit instruction set,1,4.72,0,4.72
INV-0000049,2,Triple-buffered foreground policy,1,3.19,0,3.19
INV-0000049,3,Managed tertiary firmware,3,15.7,0,47.1
INV-0000049,4,Digitized value-added open system,2,20.48,0,40.96
INV-0000049,5,Open-source secondary flexibility,1,34.25,0,34.25
INV-0000049,6,Team-oriented systematic alliance,5,11.57,15,49.17
INV-0000049,7,Devolved scalable process improvement,3,10.0,0,30.0
INV-0000049,8,Devolved background open system,8,14.98,0,119.84
INV-0000050,1,User-centric 24/7 Local Area Network,1,5.65,0,5.65
INV-0000050,2,Customizable foreground frame,7,14.78,0,103.46
INV-0000051,1,Self-enabling incremental implementation,1,14.81,15,12.59
INV-0000051,2,Synchronized value-added artificial intelligence,1,11.29,0,11.29
INV-0000051,3,Synergistic human-resource throughput,4,11.72,15,39.85
INV-0000051,4,Customer-focused context-sensitive productivity,3,35.21,5,100.35
INV-0000051,5,Monitored systematic utilization,5,15.16,0,75.8
INV-0000052,1,Enhanced multimedia product,3,9.79,0,29.37
INV-0000052,2,Up-sized mobile methodology,1,3.98,0,3.98
INV-0000052,3,Devolved client-server instruction set,6,4.67,5,26.62
INV-0000052,4,Synergized 3rdgeneration portal,2,17.72,5,33.67
INV-0000052,5,Up-sized 3rdgeneration time-frame,1,6.82,0,6.82
INV-0000052,6,Horizontal impactful process improvement,2,9.85,10,17.73
INV-0000052,7,Up-sized dynamic algorithm,1,13.2,15,11.22
INV-0000052,8,Profit-focused regional encoding,3,36.09,15,92.03
INV-0000053,1,Synergized neutral hub,1,24.99,10,22.49
INV-0000053,2,Persevering disintermediate interface,1,13.68,5,13.0
INV-0000053,3,Programmable needs-based encoding,1,34.55,5,32.82
INV-0000053,4,Total modular approach,1,22.52,5,21.39
INV-0000054,1,Synchronized optimal support,1,3.63,15,3.09
INV-0000054,2,Ergonomic empowering workforce,1,33.48,0,33.48
INV-0000054,3,Public-key user-facing artificial intelligence,4,14.01,0,56.04
INV-0000054,4,Open-source mission-critical application,3,2.67,0,8.01
INV-0000054,5,Re-engineered regional attitude,1,24.22,0,24.22
INV-0000055,1,Diverse zero-defect project,5,15.36,0,76.8
INV-0000056,1,Fully-configurable local throughput,1,12.06,10,10.85
INV-0000056,2,Multi-tiered holistic core,1,21.27,0,21.27
INV-0000057,1,Focused exuding benchmark,1,12.13,0,12.13
INV-0000057,2,Open-source asymmetric contingency,1,16.15,5,15.34
INV-0000057,3,Triple-buffered foreground interface,2,11.18,15,19.01
INV-0000057,4,Implemented heuristic project,1,11.56,0,11.56
INV-0000057,5,User-centric optimal protocol,1,5.64,15,4.79
INV-0000057,6,Universal client-server utilization,1,17.14,5,16.28
INV-0000057,7,Ergonomic motivating instruction set,4,51.34,0,205.36
INV-0000057,8,Front-line bottom-line data-warehouse,1,9.74,10,8.77
INV-0000058,1,Integrated national frame,1,6.88,0,6.88
INV-0000059,1,Synergistic bi-directional Graphical User Interface,1,8.24,0,8.24
INV-0000059,2,Assimilated secondary complexity,1,4.46,0,4.46
INV-0000059,3,Down-sized uniform superstructure,1,10.65,10,9.59
INV-0000059,4,Self-enabling intermediate hardware,1,11.34,5,10.77
INV-0000059,5,Persevering 24hour infrastructure,3,12.55,15,32.0
INV-0000059,6,Optional zero administration approach,1,22.11,5,21.0
INV-0000059,7,Switchable didactic knowledgebase,2,7.89,0,15.78
INV-0000059,8,Integrated real-time website,1,8.31,5,7.89
INV-0000060,1,Pre-emptive clear-thinking ability,1,5.16,10,4.64
INV-0000060,2,Re-engineered even-keeled hardware,1,7.86,0,7.86
INV-0000060,3,Focused national monitoring,2,2.63,5,5.0
INV-0000060,4,Cloned needs-based collaboration,1,22.11,0,22.11
INV-0000060,5,Virtual bandwidth-monitored neural-net,4,6.1,0,24.4
INV-0000060,6,Integrated composite Graphic Interface,1,6.17,0,6.17
INV-0000060,7,Organic national protocol,1,12.88,0,12.88
INV-0000061,1,Balanced analyzing framework,1,6.91,10,6.22
INV-0000061,2,Operative client-server analyzer,1,6.47,5,6.15
INV-0000061,3,Multi-channeled national projection,1,5.8,15,4.93
INV-0000061,4,Ergonomic logistical matrix,1,7.71,5,7.32
INV-0000061,5,Centralized multimedia portal,1,14.19,0,14.19
INV-0000061,6,Upgradable holistic time-frame,2,23.04,0,46.08
INV-0000062,1,Fundamental national strategy,3,6.61,0,19.83
INV-0000062,2,Innovative actuating knowledge user,1,12.15,10,10.94
INV-0000062,3,Decentralized tangible conglomeration,1,8.95,0,8.95
INV-0000063,1,Right-sized scalable extranet,1,36.87,10,33.18
INV-0000063,2,Stand-alone human-resource encryption,1,32.36,15,27.51
INV-0000063,3,Down-sized modular policy,1,4.87,0,4.87
INV-0000063,4,Up-sized static throughput,1,12.42,5,11.8
INV-0000063,5,Synchronized fault-tolerant conglomeration,1,13.32,5,12.65
INV-0000064,1,Balanced contextually-based array,1,8.84,0,8.84
INV-0000064,2,Synergistic regional toolset,1,7.86,5,7.47
INV-0000065,1,Mandatory composite access,1,6.82,5,6.48
INV-0000065,2,Phased human-resource challenge,4,8.32,10,29.95
INV-0000065,3,Team-oriented homogeneous instruction set,1,2.11,5,2.0
INV-0000066,1,Reduced user-facing solution,8,19.67,0,157.36
INV-0000066,2,Ameliorated bifurcated access,1,16.01,5,15.21
INV-0000066,3,Self-enabling context-sensitive paradigm,4,11.48,0,45.92
INV-0000066,4,Virtual tangible interface,3,7.34,0,22.02
INV-0000066,5,Re-engineered zero-defect migration,2,8.39,15,14.26
INV-0000066,6,Optional static time-frame,5,50.92,5,241.87
INV-0000066,7,Multi-channeled dynamic circuit,1,37.85,15,32.17
INV-0000067,1,Centralized demand-driven structure,2,8.21,0,16.42
INV-0000067,2,Vision-oriented logistical hierarchy,1,6.04,10,5.44
INV-0000067,3,Inverse 24hour array,1,8.84,5,8.4
INV-0000067,4,Devolved fault-tolerant project,1,9.83,0,9.83
INV-0000067,5,Organic hybrid implementation,1,5.49,15,4.67
INV-0000067,6,Enterprise-wide holistic middleware,1,14.69,0,14.69
INV-0000067,7,Up-sized human-resource project,1,10.98,5,10.43
INV-0000067,8,Synchronized coherent Local Area Network,1,9.16,15,7.79
INV-0000068,1,Operative actuating Graphic Interface,1,7.99,15,6.79
INV-0000068,2,Right-sized next generation process improvement,2,20.74,10,37.33
INV-0000068,3,Customizable bandwidth-monitored budgetary management,2,7.34,5,13.95
INV-0000068,4,Cross-group interactive moderator,1,66.93,0,66.93
INV-0000068,5,Down-sized static array,1,13.72,15,11.66
INV-0000068,6,Pre-emptive well-modulated productivity,1,12.97,15,11.02
INV-0000069,1,Implemented 24hour software,1,17.14,5,16.28
INV-0000069,2,Sharable global definition,3,36.82,0,110.46
INV-0000070,1,Reactive directional analyzer,1,8.04,0,8.04
INV-0000070,2,Universal responsive projection,1,18.39,5,17.47
INV-0000070,3,Synergistic non-volatile implementation,1,17.82,0,17.82
INV-0000070,4,Open-source multi-state matrices,1,25.14,0,25.14
INV-0000070,5,Switchable grid-enabled capacity,1,10.08,10,9.07
INV-0000070,6,Total context-sensitive task-force,3,23.65,5,67.4
INV-0000071,1,Intuitive empowering flexibility,1,7.59,0,7.59
INV-0000071,2,Grass-roots intangible frame,1,2.56,5,2.43
INV-0000071,3,Assimilated foreground secured line,2,4.03,15,6.85
INV-0000072,1,Customizable object-oriented encryption,4,12.32,5,46.82
INV-0000072,2,Networked national initiative,1,22.75,0,22.75
INV-0000073,1,Extended even-keeled application,1,13.03,0,13.03
INV-0000073,2,Polarized system-worthy utilization,1,13.68,5,13.0
INV-0000074,1,Automated bi-directional database,1,18.14,10,16.33
INV-0000075,1,Fully-configurable well-modulated encoding,1,17.4,15,14.79
INV-0000075,2,Implemented foreground info-mediaries,1,29.17,0,29.17
INV-0000075,3,User-friendly bifurcated product,4,8.66,15,29.44
INV-0000076,1,User-friendly contextually-based process improvement,1,16.16,0,16.16
INV-0000076,2,Extended even-keeled neural-net,1,35.05,0,35.05
INV-0000076,3,Compatible optimal challenge,4,16.14,0,64.56
INV-0000076,4,Inverse static monitoring,1,29.99,10,26.99
INV-0000076,5,Persistent dynamic interface,1,8.92,0,8.92
INV-0000076,6,Function-based holistic collaboration,1,23.92,10,21.53
INV-0000076,7,Public-key bi-directional orchestration,2,24.08,10,43.34
INV-0000077,1,Seamless disintermediate collaboration,2,3.89,0,7.78
INV-0000077,2,Compatible tertiary alliance,1,14.83,0,14.83
INV-0000077,3,Operative attitude-oriented standardization,1,13.73,0,13.73
INV-0000077,4,Optional system-worthy budgetary management,1,21.87,15,18.59
INV-0000077,5,Open-architected human-resource analyzer,1,13.82,15,11.75
INV-0000077,6,Team-oriented attitude-oriented knowledgebase,1,77.52,15,65.89
INV-0000077,7,Inverse exuding Local Area Network,1,42.42,5,40.3
INV-0000077,8,Cloned object-oriented policy,5,18.42,10,82.89
INV-0000078,1,Ameliorated even-keeled knowledgebase,2,14.51,15,24.67
INV-0000078,2,Balanced human-resource access,1,5.49,0,5.49
INV-0000078,3,Multi-tiered optimizing concept,1,13.86,0,13.86
INV-0000078,4,Polarized motivating monitoring,5,13.07,15,55.55
INV-0000078,5,Ergonomic secondary array,1,72.03,0,72.03
INV-0000078,6,Future-proofed logistical methodology,1,17.58,5,16.7
INV-0000078,7,Robust web-enabled utilization,1,25.78,0,25.78
INV-0000079,1,Public-key multimedia protocol,1,8.1,0,8.1
INV-0000079,2,Pre-emptive background project,1,22.12,0,22.12
INV-0000079,3,Configurable client-driven algorithm,5,2.4,0,12.0
INV-0000079,4,User-centric value-added initiative,1,29.64,0,29.64
INV-0000079,5,Switchable exuding array,1,6.87,0,6.87
